10	14:4	42:4	65:2	80:4	103:13	134:7	307:11	554:1	789:0	813:0
10	8:0	47:0	62:1	79:11	118:0	181:1	249:0	414:3	825:0	849:0
10	0:6	25:2	57:4	81:10	115:6	140:7	346:10	546:9	598:0	622:0
10	5:5	45:3	64:9	84:1	113:13	151:1	386:9	453:0	755:0	779:0
10	18:14	28:4	69:4	92:8	112:13	172:9	294:5	540:5	708:0	732:0
10	16:1	30:1	61:3	91:14	99:1	175:6	374:10	574:13	742:0	766:0
10	20:3	24:4	71:1	86:3	109:12	140:6	289:11	560:0	771:0	795:0
10	3:5	43:3	62:9	82:1	111:13	149:1	384:9	451:0	753:0	777:0
10	12:8	25:2	69:3	72:1	106:1	125:1	397:6	469:12	689:0	713:0
10	6:0	45:0	60:1	77:11	116:0	179:1	247:0	412:3	823:0	847:0
10	14:8	27:2	71:3	74:1	108:1	127:1	399:6	471:12	691:0	715:0
10	20:6	38:11	62:0	90:11	110:0	194:9	327:11	572:14	1040:0	1064:0
10	3:0	25:7	57:10	80:9	111:0	146:1	346:12	423:12	815:0	839:0
10	6:5	31:1	63:3	87:9	97:6	122:7	352:9	528:9	580:0	604:0
10	7:1	26:1	68:3	81:0	99:2	215:3	257:7	491:0	986:0	1010:0
10	17:5	33:4	52:10	72:2	101:14	163:1	398:9	441:1	767:0	791:0
10	2:5	27:1	59:3	83:9	117:5	142:6	348:9	548:8	576:0	600:0
10	15:1	29:1	60:3	90:14	98:1	174:6	373:10	573:13	741:0	765:0
10	11:11	38:0	65:4	78:2	115:13	235:9	374:9	491:0	658:0	682:0
10	19:11	39:1	66:3	72:4	118:0	205:5	297:4	456:1	617:0	641:0
10	21:3	25:4	48:2	87:3	110:12	141:6	290:11	561:0	772:0	796:0
10	0:13	28:10	50:1	86:0	102:1	229:1	365:2	447:5	925:0	949:0
10	6:11	26:1	53:3	83:3	105:0	192:5	308:3	467:0	604:0	628:0
10	7:5	32:1	64:3	88:9	98:6	123:7	353:9	529:9	581:0	605:0
10	2:5	42:3	61:9	81:1	110:13	148:1	407:8	450:0	752:0	776:0
10	23:6	46:2	49:6	78:2	102:7	196:2	358:8	511:2	884:0	908:0
10	1:2	44:1	62:4	75:1	117:2	209:4	251:8	485:1	1004:0	1028:0
10	11:7	25:6	55:7	74:11	115:0	140:0	275:1	438:2	907:0	931:0
10	6:14	45:11	67:3	95:1	98:14	224:3	281:4	476:1	634:0	658:0
10	23:11	26:1	53:5	90:2	103:14	223:10	362:10	503:0	670:0	694:0
10	4:14	43:11	65:3	93:1	96:14	222:3	279:4	474:1	632:0	656:0
10	9:1	47:0	54:3	84:14	116:0	168:6	367:10	567:13	735:0	759:0
10	7:11	45:11	50:6	89:12	101:13	160:3	321:1	410:2	854:0	878:0
10	1:4	29:4	52:2	91:3	114:12	121:7	294:11	565:0	776:0	800:0
10	20:4	36:3	55:9	75:1	104:13	166:0	401:8	444:0	746:0	770:0
10	11:11	31:1	58:3	88:3	110:0	197:5	289:4	472:0	609:0	633:0
10	8:11	46:11	51:6	90:12	102:13	161:3	322:1	411:2	855:0	879:0
10	1:12	45:1	48:4	78:4	100:1	211:5	303:4	462:1	623:0	647:0
10	16:6	30:5	60:6	79:10	96:0	121:0	280:0	443:1	888:0	912:0
10	7:6	41:0	54:1	75:2	115:9	152:5	312:1	512:11	589:0	1068:0
10	19:3	47:3	70:1	85:3	108:12	139:6	288:11	559:0	770:0	794:0
10	5:11	25:1	52:3	82:3	104:0	215:4	307:3	466:0	603:0	627:0
10	17:11	37:1	64:3	94:3	116:0	203:5	295:4	478:0	615:0	639:0
10	13:14	28:12	50:4	78:2	105:14	231:3	264:5	459:2	641:0	665:0
10	16:1	35:1	53:4	90:0	108:2	200:4	242:8	500:0	995:0	1019:0
